,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,Frequency
112,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2007,2007-01-01,18252.0,18252.0,A,Annually
113,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2008,2008-01-01,9720.0,9720.0,A,Annually
114,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2009,2009-01-01,10110.0,10110.0,A,Annually
115,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2010,2010-01-01,13536.0,13536.0,A,Annually
116,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2011,2011-01-01,13309.0,13309.0,A,Annually
117,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2012,2012-01-01,5770.0,5770.0,A,Annually
118,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2013,2013-01-01,658.0,658.0,A,Annually
119,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2014,2014-01-01,14821.0,14821.0,A,Annually
120,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2015,2015-01-01,13530.0,13530.0,A,Annually
121,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2016,2016-01-01,16639.0,16639.0,A,Annually
122,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2017,2017-01-01,10182.0,10182.0,A,Annually
123,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2018,2018-01-01,14805.0,14805.0,A,Annually
124,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2019,2019-01-01,14971.0,14971.0,A,Annually
125,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2020,2020-01-01,15190.0,15190.0,A,Annually
126,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2000,2000-01-01,NA,,A,Annually
127,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2001,2001-01-01,NA,,A,Annually
128,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2002,2002-01-01,NA,,A,Annually
129,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2003,2003-01-01,NA,,A,Annually
130,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2004,2004-01-01,1053.0,1053.0,A,Annually
131,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2005,2005-01-01,2006.0,2006.0,A,Annually
132,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2006,2006-01-01,3682.0,3682.0,A,Annually
133,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2007,2007-01-01,4604.0,4604.0,A,Annually
134,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2008,2008-01-01,-1700.0,-1700.0,A,Annually
135,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2009,2009-01-01,1008.0,1008.0,A,Annually
136,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2010,2010-01-01,-82.0,-82.0,A,Annually
137,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2011,2011-01-01,-559.0,-559.0,A,Annually
138,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2012,2012-01-01,376.0,376.0,A,Annually
139,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2013,2013-01-01,1689.0,1689.0,A,Annually
140,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2014,2014-01-01,4283.0,4283.0,A,Annually
141,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2015,2015-01-01,10030.0,10030.0,A,Annually
142,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2016,2016-01-01,-5436.0,-5436.0,A,Annually
143,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2017,2017-01-01,1320.0,1320.0,A,Annually
144,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2018,2018-01-01,482.0,482.0,A,Annually
145,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2019,2019-01-01,-269.0,-269.0,A,Annually
