,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,Frequency
1182,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-05,2021-05-01,49.66,49.66,M,Monthly
1183,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-06,2021-06-01,48.87,48.87,M,Monthly
1184,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-07,2021-07-01,49.84,49.84,M,Monthly
1185,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-08,2021-08-01,51.01,51.01,M,Monthly
1186,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-09,2021-09-01,51.01,51.01,M,Monthly
1187,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-10,2021-10-01,48.36,48.36,M,Monthly
1188,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-11,2021-11-01,43.28,43.28,M,Monthly
1189,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-12,2021-12-01,38.85,38.85,M,Monthly
1190,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-01,2022-01-01,42.29,42.29,M,Monthly
1191,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-02,2022-02-01,43.69,43.69,M,Monthly
1192,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-03,2022-03-01,43.8,43.8,M,Monthly
