,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,ADJUSTMENT,BS_REP_SECTOR,BS_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,CURRENCY_TRANS,BS_SUFFIX,Frequency code list,Area code list,Adjustment indicator code list,Balance sheet reference sector breakdown,Balance sheet item,Original maturity,Data Type,Counterpart geo area,Balance sheet counterpart sector,Currency code list,Suffix
217,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-02,1988-02-01,473405.0,473405.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
218,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-03,1988-03-01,473730.0,473730.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
219,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-04,1988-04-01,479667.0,479667.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
220,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-05,1988-05-01,475507.0,475507.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
221,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-06,1988-06-01,481108.0,481108.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
222,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-07,1988-07-01,490188.0,490188.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
223,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-08,1988-08-01,483621.0,483621.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
224,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-09,1988-09-01,484343.0,484343.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
225,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-10,1988-10-01,491688.0,491688.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
226,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-11,1988-11-01,488694.0,488694.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
