,period,value,dataset_name,FREQ,REF_AREA,series_name,series_code
78,2010-01-01,99.7824,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
79,2010-04-01,100.525,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
80,2010-07-01,100.0292,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
81,2010-10-01,99.6634,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
82,2011-01-01,98.9737,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
83,2011-04-01,99.473,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
84,2011-07-01,99.8966,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
85,2011-10-01,99.194,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
86,2012-01-01,99.5213,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
87,2012-04-01,100.5765,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
88,2012-07-01,101.2547,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
89,2012-10-01,101.8662,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
90,2013-01-01,102.6122,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
91,2013-04-01,104.1796,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
92,2013-07-01,105.7911,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
93,2013-10-01,106.5294,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
94,2014-01-01,107.4548,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
95,2014-04-01,108.5056,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
96,2014-07-01,109.6697,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
97,2014-10-01,110.2016,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
98,2015-01-01,111.3941,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
99,2015-04-01,112.8742,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
100,2015-07-01,114.4122,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
101,2015-10-01,115.218,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
102,2016-01-01,116.8106,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
103,2016-04-01,118.6216,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
104,2016-07-01,120.2381,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
105,2016-10-01,121.2611,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
106,2017-01-01,123.1746,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
107,2017-04-01,124.9297,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
108,2017-07-01,126.6345,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
109,2017-10-01,127.5568,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
110,2018-01-01,129.2802,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
111,2018-04-01,130.6544,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
112,2018-07-01,132.0171,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
113,2018-10-01,132.5236,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
114,2019-01-01,133.3915,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
115,2019-04-01,134.6732,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
116,2019-07-01,136.0951,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
117,2019-10-01,137.3628,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
118,2020-01-01,139.1549,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
