,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,SUBJECT,MEASURE,FREQUENCY,Country,Subject,Measure,Frequency
42,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2002,2002-01-01,511.141666666667,511.141666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
43,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2003,2003-01-01,564.766666666667,564.766666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
44,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2004,2004-01-01,623.575,623.575,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
45,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2005,2005-01-01,675.541666666667,675.541666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
46,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2006,2006-01-01,749.65,749.65,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
47,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2007,2007-01-01,879.808333333334,879.808333333334,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
48,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2008,2008-01-01,1051.75833333333,1051.75833333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
49,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2009,2009-01-01,1171.18333333333,1171.18333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
50,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2010,2010-01-01,1240.45,1240.45,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
51,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2011,2011-01-01,1358.93333333333,1358.93333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
52,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2012,2012-01-01,1465.34166666667,1465.34166666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
53,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2013,2013-01-01,1562.95,1562.95,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
54,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2014,2014-01-01,1675.94166666667,1675.94166666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
55,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2015,2015-01-01,1789.03333333333,1789.03333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
56,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2016,2016-01-01,1895.95,1895.95,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
57,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2017,2017-01-01,2023.8,2023.8,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
58,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2018,2018-01-01,2076.8,2076.8,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
59,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2019,2019-01-01,2139.31666666667,2139.31666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
60,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2020,2020-01-01,2327.0,2327.0,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
61,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2021,2021-01-01,2530.325,2530.325,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
62,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2022,2022-01-01,2745.58333333333,2745.58333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
63,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2023,2023-01-01,2891.28333333333,2891.28333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
64,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1961,1961-01-01,3.35497166901784,3.35497166901784,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
65,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1962,1962-01-01,3.42510719978511,3.42510719978511,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
66,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1963,1963-01-01,3.55203454128097,3.55203454128097,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
67,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1964,1964-01-01,3.81904276983704,3.81904276983704,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
68,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1965,1965-01-01,3.8316403664191,3.8316403664191,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
69,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1966,1966-01-01,3.9233824144967,3.9233824144967,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
70,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1967,1967-01-01,4.18996134959937,4.18996134959937,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
71,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1968,1968-01-01,4.48609935664539,4.48609935664539,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
72,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1969,1969-01-01,4.85047064330502,4.85047064330502,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
73,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MANMM101.STSA.A,"Australia – Monetary aggregates and their components > Narrow money and components > M1 and components > M1 – Level, rate or national currency, s.a. – Annual",1970,1970-01-01,5.14525167112303,5.14525167112303,AUS,MANMM101,STSA,A,Australia,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Annual
